autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
Gilberto P,"Curitiba, PR","Local muito bom para passear com a criançada, amplos locais gramados e muitas árvores para descansar à sombra. Os estacionamentos são amplos o que ajuda a receber muitas pessoas.o porém fica pelo lago, que merece ser mais bem cuidado e precisa retirar o excesso de cocô de capivara que fica espalhado pelo gramado.",Feita em 8 de janeiro de 2020,Amplo e agradável mas o lago precisa cuidados
Viajar,Bahia,Reserve um tempinho para andar ou pedalar no parque. Tem bikes e patinetes lá pelo App. Parque tem animais livres.,Feita em 7 de janeiro de 2020,Reserve um tempinho para aproveitar
Ivana Vizoni,"Londrina, PR",Lugar pra relaxar. Curtir a natureza. Praticar esportes. Fazer piquenique. Até um churrasquinho combina. Excelente para passar o dia com a família e amigos. ,Feita em 7 de janeiro de 2020,Desconectar
Caroline Mattar Assad,"Curitiba, PR","O Parque é uma delícia, frequentado por bastante gente. Pistas distintas para caminhar, correr e andar de bicicleta. Além de espaço pra exercícios físicos, existe muita área verde, churrasqueira e ambientes para esticar uma toalha e ficar de bobeira com os amigos e família. O melhor parque da cidade. ",Feita em 7 de janeiro de 2020,O melhor parque da cidade
Luiz Gomes,"Rio das Ostras, RJ","Grande, bonito, agradável!",Feita em 6 de janeiro de 2020,Relax...
lilianpraia,"Curitiba, PR","Lindo parque,  grande  área verde bem cuidada.  Sugestão  seria excelente um local para lanches, como uma sorveteria de boa qualidade,uma cafeteria  com café  da manhã  ou  uma lanchonete de qualidade",Feita em 5 de janeiro de 2020,Lindo parque
Ananda Gurgel,"São Paulo, SP","Parque muito bonito, limpo, bem plano e com bastante área verde. ",Feita em 4 de janeiro de 2020,Ótimo parque em Curitiba
Monica Regina B,"Rio de Janeiro, RJ","Parque com muitas opções de atividades: caminhadas, brincar com cachorros, andar de bicicleta ou patinete, jogar bola, frescobol, descansar na grama... diversão para todos os gostos. ",Feita em 4 de janeiro de 2020,Para a família inteira
André Ortolani,"São Paulo, SP","O parque em si é belíssimo. Contudo, levando em conta que visitamos no dia 30/12/19, estranho a falta de infraestrutura e suporte no parque. Difícil ficar com crianças pequenas por muito tempo",Feita em 2 de janeiro de 2020,"Belíssimo, mas pouca infraestrutura"
Aline Rios,"Vitória, ES",Na minha opinião é o melhor parque de Curitiba!,Feita em 2 de janeiro de 2020,Melhor parque
BabiSmi,"Curitiba, PR","Por ser plano na sua maior extensão, é uma ótima opção de parque para praticar exercícios, pedalar e patinar.",Feita em 1 de janeiro de 2020,Programa fitness
naotemho,"Paraisópolis, MG","O parque é um dos mais antigos de Curitiba. Possui trilhas para caminhada, um amplo estacionamento gratuito e um enorme lago que cobre grande parte do local. É preciso tomar algum cuidado com animais de estimação pois no lago existe um jacaré (não é lenda!). Nos finais de semana o som alto dos veículos pode incomodar um pouco os mais sensíveis, embora aja fiscalização da guarda municipal.",Feita em 30 de dezembro de 2019,Parque mais tradicional da capital paranaense
Caroline Mariano,"Cordeiro, RJ",excelente lugar para atividades ao ar livre ...excelente para o início da manhã e fim de tarde ..ótimo para picnic,Feita em 28 de dezembro de 2019,bom 
Rodrigo F,"Foz do Iguaçu, PR",Paisagem linda e toda estrutura necessária para se exercitar ou só para passar o tempo. Excelente também para quem tem crianças: não faltam espaços para brincar.,Feita em 23 de dezembro de 2019,Sempre uma ótima pedida
NEANDER PEREIRA,"Curitiba, PR","O Parque Barigui é um excelente lugar para se fazer caminhadas, andar de bicicleta, correr, ou simplesmente admirar a natureza.",Feita em 17 de dezembro de 2019,Parque belo e seguro em Curitiba.
CleberMello,"Rio de Janeiro, RJ","Um parque muito bem cuidado, com ciclovias, pista de corrida e uma bonita paisagem. É onde o curitibano vai para se exercitar. Na minha opinião é um parque mais para os locais. De qualquer forma, se você estiver com tempo, valo conhcer.",Feita em 16 de dezembro de 2019,O parque dos curitibanos
Flavia S,"Gramado, RS","Lugar lindo, limpo, bem arborizado, possui restaurante, cafeteria, sorveteria, amei a organização do espaço, o parque transmite uma paz, ótimo para curtir em família com amigos.",Feita em 14 de dezembro de 2019,Passeio
Fernando Soares,"Cubatão, SP",Parque destinado à atividades físicas com direito há usufruir de belas paisagens e ao contato com a natureza.,Feita em 7 de dezembro de 2019,Ótimo para caminhadas e exercícios
Alfaides C,35 contribuições,"A ciclovia do Barigui é o primeiro anel interno de três anéis, ciclista não tem acesso a este anel sem passar por cima da grama, após a chuva fica pior em alguns locais com água.",Feita em 1 de dezembro de 2019,Ciclovia
Pedro,101 contribuições,"O parque barigui se destaca por suas amplas pistas de corrida e extensa área verde, sendo ideal para passear com animais de estimação ou levar os filhos para terem contato com a natureza.",Feita em 1 de dezembro de 2019,Ótimo para atividades ao ar livre
alessiacolombo,"São Paulo, SP",Lugar lindo que recomendo todos a visitarem! Amei o pavilhão de eventos a beleza do local e a limpeza! ,Feita em 28 de novembro de 2019,Ameiiiii
Thais Tavares,"Rio de Janeiro, RJ",O Parque é gigante e merece uma boa cainhada ou pratica de exercício. Excelente para passar o dia com a afamilia e crianças. Não há muitas opções de almoço e poderiam investir mais nesta estrutura.,Feita em 26 de novembro de 2019,Passeio para todo o dia
Jeniffer Paolillo,"Santos, SP","Para quem for com intuito de passear, tomar um sorvete ou encontrar feirinhas de artesanato, esqueçam, é um parque aberto e nada mais, nem um sorvete você encontra, ficamos pouco tempo pq não tinhamos mais opções.",Feita em 24 de novembro de 2019,OPÇÃO PARA PRATICAR EXERCÍCIOS
LiviaMayer,"Rio de Janeiro, RJ","A área é linda , ver as capivaras foi muito legal. Porém senti falta de um parquinho como o do passeio público. A maioria dos parquinhos em Curitiba conta somente com três brinquedos (um escorregador, uma gangorra e um trepa trepa). Não sei se é viável mas um passeio de pedalinho no lago também seria legal. ",Feita em 21 de novembro de 2019,Falta um bom parquinho
brunopitlo,"Curitiba, PR","parque na entrada da cidade, muito gosto de ir matar um tempo, tomar seu bom vinho, dar uma relaxada",Feita em 20 de novembro de 2019,otimo
Ney Vieira,"Curitiba, PR","Se tem um lugar que eu não deixo de curtir toda semana..., esse é o lugar! ",Feita em 20 de novembro de 2019,"Show ! É uma das ""praias"" do curtibano"
Mônica Mello,"Montevidéu, Uruguai",Esse parque é especial. E tem um bar no meio do lago. Tudo em Curitiba é muito bem cuidado e lindo!!,Feita em 18 de novembro de 2019,LAGO MARAVILHOSO
Leslie B,"Passo Fundo, RS","Parque lindo para passear!! Após um treino ao ar livre, com uma água de Coco para hidratar, é maravilhoso!! ",Feita em 16 de novembro de 2019,Parque lindo 
Marcelo,"Calgary, Canadá","Sem dúvida o melhor parque para se exercitar e passear com cachorros, local para caminhada, corrida, skate, patins, bike, bons locais para estacionar, também tem restaurantes.",Feita em 16 de novembro de 2019,"Parque Barigui, Um dos belos Parques de Curitiba "
Curitiba pelo Mundo,"Curitiba, PR","O parque continua sendo a opção do curitibano para passeios ao ar livre, correr, andar de bike, skate, patins, jogar vôlei ou mesmo só pra  andar com a família! Possui até uma academia pública da prefeitura!",Feita em 16 de novembro de 2019,"Ar puro, povo bonito e muita disposição."
Beta Rodrigues,"Curitiba, PR","Por ficar próximo da minha casa costumo chamá-lo de “meu jardim”. Faço ali as minhas caminhadas matinais. Amo o parque Barigui. Lugar para relaxar, ler um livro, tomar chimarrão, fazer ioga, praticar Tai Chi, tomar uma cerveja em um bar/restaurante e até passar um réveillon bem curitibano. Para turistar ele está localizado em frente ao Museu do Automóvel.",Feita em 14 de novembro de 2019,Meu Jardim
David Flagger,"São Paulo, SP","Toda vez em que viajo para Curitiba, minha visita neste parque é certa. É um parque público, aberto 24h, rodeado por casas padrão A e B, está entre os parques mais procurados pelos moradores nos dias em que o sol decide aparece. O parque é cortado pelo Rio Barigui e tem um lago que oferece um lindo cenário para o entardecer atrás dos prédios da cidade, formando um belo skyline de Curitiba. Neste parque, reinam inúmeras capivaras no gramado do parque, além de também ser a casa de um jacaré do papo amarelo Que costumeiramente toma sol as margens do lago. Quem for ao parque vai encontrar restaurante, um pavilhão de exposições, o Museu do Automóvel, academia de ginástica, pista de cooler e patinação, ciclovia, churrasqueiras, quadras dentre outros. O parque é maravilhoso e imenso. São quase 1.500.000 m² disponíveis para os moradores e turistas curtirem ao ar livre.",Feita em 12 de novembro de 2019,Um parque maravilhoso
Andressa N,8 contribuições,"O parque é lindo! Tem muitas áreas verdes, locais para sentar e aproveitar a vista. Está perto de shopping e é possível passear por ele de patinete ou bicicleta. O graaande diferencial são as capivaras. Pensa num bichinho lindo e simpático. Não saia de Curitiba sem vê-las! ",Feita em 11 de novembro de 2019,Para mim o melhor!
Ariane Santos,"Florianópolis, SC","O parque é lindo e ótimo para passear com as crianças, para fazer atividade física ou apenas para ir conversar mesmo. ",Feita em 9 de novembro de 2019,Um dos melhores parques da cidade
Fred Baião,"Belo Horizonte, MG","O Barigui é um parque bastante frequentado pelos moradores, ao contrário do Jardim Botânico.",Feita em 9 de novembro de 2019,Parque das capivaras
Thiffany Soares,"Ilhabela, SP","Lugar muito bonito e limpo. Com bastante espaço para fazer uma caminhada, olhar os patos, levar cachorro... bater uma bolinha... fazer de tudo um pouco.",Feita em 7 de novembro de 2019,Bom para praticar esportes
Deni P,9 contribuições,"Um parque para contemplar, caminhar, fazer atividades físicas. Um local maravilhoso, com muito verde e muita água. ",Feita em 7 de novembro de 2019,Contemplação!
giba2016,"Registro, Brasil","O Parque Barigui é muito bonito, bem cuidado, com pista para caminhada, corrida e bike. Bem arborizado, tem estacionamentos, vários trailers de caldo de cana, aluguel de bikes,  restaurante, feira de doação de animais (1 vez por mês). Vale muito a pena.",Feita em 6 de novembro de 2019,Parque gostoso e muito bonito.
Francisco F,"Curitiba, Brazil","Especial para fazer caminhada, exercícios de modo geral, com duas pistas para caminhadas mais longas ou curtas.",Feita em 6 de novembro de 2019,"Lugar muito bonito, inclusive com bons restaurantes e bares"
Eduardo S.,"Cotia, SP","Parque bem cuidado , bem grande .",Feita em 1 de novembro de 2019,Quem gosta de exercício
Mag E,"Niterói, RJ","Tudo bem cuidado, por isso  digo sempre, Curitiba é outro País, ruas limpas, pessoas educadas, embora um pouco reservadas, mas prestativas.",Feita em 29 de outubro de 2019,Bem cuidado
Juninho Caputo,"Curitiba, PR","Atualmente o melhor parque para se correr. Porém o local está precisando de uma manutenção mais condizente com a realidade do parque. Está dando enchente direto lá e acumula lama nas pistas e dá mau cheiro. Prefeitura, vamos dar uma melhorada por lá ????",Feita em 28 de outubro de 2019,Ótimo para correr
Allyson C. Oliveira,"Curitiba, PR","O melhor parque de Curitiba sem dúvida é Barigui. Tem estacionamento gratuito, churrasqueira gratuita, lago, rios e muita área verde. Sem falar na vista e bons restaurantes próximos . Parada obrigatória de Curitiba pra quem gosta de parque.",Feita em 17 de outubro de 2019,O melhor parque 
Rodrigo Lupareli,"Rio de Janeiro, RJ","Como todo parque possui ciclovias, pista de corridas e caminhada, tem uma longa extensão e serviço de Patinete e Bicicleta elétrica para alugar.",Feita em 16 de outubro de 2019,Respirar Ar Puro.
mariaade50,"Curitiba, PR","Parque Barigui  é um dos muitos parques que proliferam em Curitiba. A natureza se faz presente com muitas árvores, lago,o rio que dá nome ao Parque. Tem tb  pistas de corrida  e caminhada, academia ao ar livre, pontes, pavilhão  de exposições, passeio de helicóptero, restaurantes e bares à beira do lago. Um lugar muito agradável.",Feita em 13 de outubro de 2019,Lindoo
Nanda_Rios,6 contribuições,"Contato com a natureza, no qual você pode alugar uma bike na entrada e aproveitar o máximo que puder.",Feita em 10 de outubro de 2019,Caminhar ou andar de bike?
Paula,"Florianópolis, SC","Lugar muito lindo!! Otimo para caminhar de bike, bater fotos e apreciar a fauna e a flora. Nunca tinha visto capivaras tao de perto!! E muito gostoso ir pra la, fazer piquenique com os amigos! ",Feita em 10 de outubro de 2019,Apaixonante!
Rodrigo J,"São Caetano do Sul, SP","Vale a pena passear por esses quase 8km de muito verde e ar puro. O parque mais cheio, porém o mais gostoso da cidade. Vale a visita",Feita em 8 de outubro de 2019,O Melhor Parque da Cidade
Tenice S,"Curitiba, PR","Passear no parque, caminhar, ver o por do sol no lago (um dos mais bonitos da cidade) é  sempre adorável. Excelente para fotografar e fazer pique nique. Para quem gosta de andar de bike, skate, patinete o lugar é  perfeito e sempre movimentado.",Feita em 8 de outubro de 2019,Adorável em qualquer época 
Luciana B,"Volta Redonda, RJ","Lindíssimo o parque! Recomendo a visita ao local, que é bem espaçoso. Tem estacionamento gratuito e é aberto a qualquer pessoa. ",Feita em 3 de outubro de 2019,Muito lindo!
Kaori Tr.,2 contribuições,"À minha vista, vejo lagoas, várias aves, araucárias, várias árvores, casas com arquiteturas típicas, pessoas aproveitando o espaço amplo que existe, brincando, andando de bicicleta, correndo, aproveitando o momento. E então, resolvo ter meu almoço no restaurante que existe lá dentro do parque (Restaurante Maggiore). O clima, as companhias, os pratos, o atendimento, a vista, estava tudo casando bem com aquela tarde agradável e cheia de vida! Espero que aproveitem tanto quanto eu o que esse parque tem a oferecer! ",Feita em 30 de setembro de 2019,"Amplitude, natureza e espaços!"
